date,price,returns,regime,signal,kama,kama_filter,Regime_0,Regime_1,Regime_2,Regime_3
2002-03-15,1166.16,0.011314366990910152,0,1.0,1153.053046645354,2.568329086278057,1.0,0.0,0.0,0.0
2002-03-18,1165.55,-0.00052322116722614,0,1.0,1153.398939876864,2.5401921117908355,1.0,0.0,0.0,0.0
2002-03-19,1170.29,0.004058502728113922,0,1.0,1154.7608332089053,2.4811223441923973,1.0,0.0,0.0,0.0
2002-03-20,1151.85,-0.015882235881982787,0,1.0,1154.6852870003422,2.474057965868883,1.0,0.0,0.0,0.0
2002-03-21,1153.59,0.0015094735325007491,0,1.0,1154.6740384865047,2.4652096194334843,1.0,0.0,0.0,0.0
2002-03-22,1148.7,-0.004247950825804203,0,1.0,1154.3994133154984,2.461724829118469,1.0,0.0,0.0,0.0
2002-03-25,1131.87,-0.014759735972361021,1,0.0,1151.5697468877527,2.6431045096133716,0.0,1.0,0.0,0.0
2002-03-26,1138.49,0.005831690799177558,1,0.0,1150.6188846227076,2.6821234048221996,0.0,1.0,0.0,0.0
2002-03-27,1144.58,0.005334934491028953,1,0.0,1150.4975194209521,2.6847400002682895,0.0,1.0,0.0,0.0
2002-03-28,1147.39,0.00245204030412971,1,0.0,1150.4603641125723,2.679220407288416,0.0,1.0,0.0,0.0
2002-04-01,1146.54,-0.0007410862919989825,1,0.0,1150.2149187675802,2.696322608471271,0.0,1.0,0.0,0.0
2002-04-02,1136.76,-0.008566600805891333,1,0.0,1148.9822477562234,2.7467865238044644,0.0,1.0,0.0,0.0
2002-04-03,1125.4,-0.01004358267626504,1,0.0,1145.115922109522,2.928556293402593,0.0,1.0,0.0,0.0
2002-04-04,1126.34,0.0008349099404050264,1,0.0,1143.2807853655015,2.7695126679154454,0.0,1.0,0.0,0.0
2002-04-05,1122.73,-0.003210218534984044,1,0.0,1140.6782051303346,2.4862465905931916,0.0,1.0,0.0,0.0
2002-04-08,1125.29,0.0022775607927156827,1,0.0,1139.3489110974897,2.012242071116102,0.0,1.0,0.0,0.0
2002-04-09,1117.8,-0.006678312361717786,1,0.0,1138.237536364603,1.5741278263847134,0.0,1.0,0.0,0.0
2002-04-10,1130.47,0.0112710075997553,1,0.0,1138.068429414394,1.326109044408536,0.0,1.0,0.0,0.0
2002-04-11,1103.69,-0.02397436413064913,1,0.0,1133.1879818923835,1.6052484353988543,0.0,1.0,0.0,0.0
2002-04-12,1111.01,0.00661040019450887,1,0.0,1130.8120593445708,1.6154327434339255,0.0,1.0,0.0,0.0
2002-04-15,1102.55,-0.00764383273263558,1,0.0,1127.2363604333962,1.61583225076348,0.0,1.0,0.0,0.0
2002-04-16,1128.37,0.023148434690932973,1,0.0,1127.2505115865297,1.5997692393241498,0.0,1.0,0.0,0.0
2002-04-17,1126.07,-0.0020404187274598584,1,0.0,1127.2449504801816,1.5061640580663498,0.0,1.0,0.0,0.0
2002-04-18,1124.47,-0.0014218812103461431,1,0.0,1127.2289497426204,1.5089258877014562,0.0,1.0,0.0,0.0
2002-04-19,1125.17,0.0006223218137941799,1,0.0,1127.2158156616395,1.5088363951184538,0.0,1.0,0.0,0.0
2002-04-22,1107.83,-0.015530988400682233,1,0.0,1126.7215306493113,1.5012012270379662,0.0,1.0,0.0,0.0
2002-04-23,1100.96,-0.006220620478646133,1,0.0,1126.0880110841633,1.4698755545287803,0.0,1.0,0.0,0.0
2002-04-24,1093.14,-0.007128237648521107,1,0.0,1123.5311200472809,1.4949440227354565,0.0,1.0,0.0,0.0
2002-04-25,1091.48,-0.0015197153916792772,1,0.0,1122.745655508419,1.4733344204370777,0.0,1.0,0.0,0.0
2002-04-26,1076.32,-0.013986758136673494,1,0.0,1118.4941269129333,1.5683375098550663,0.0,1.0,0.0,0.0
2002-04-29,1065.45,-0.010150570165366801,1,0.0,1113.3189934501518,1.724166954846199,0.0,1.0,0.0,0.0
2002-04-30,1076.92,0.010707869876990905,1,0.0,1105.1656427203793,2.2184709502390354,0.0,1.0,0.0,0.0
